#NAME,SYMBOL,OLD SYMBOL
Nasdaq Asia Industrials EUR TR Index,NQASIA50EURT,NQASIA2000EURT
Nasdaq Asia Industrials GBP Index,NQASIA50GBP,NQASIA2000GBP
Nasdaq Asia Industrials GBP NTR Index,NQASIA50GBPN,NQASIA2000GBPN
Nasdaq Asia Industrials GBP TR Index,NQASIA50GBPT,NQASIA2000GBPT
Nasdaq Asia Industrials Index,NQASIA50,NQASIA2000
Nasdaq Asia Industrials JPY Index,NQASIA50JPY,NQASIA2000JPY
Nasdaq Asia Industrials JPY NTR Index,NQASIA50JPYN,NQASIA2000JPYN
Nasdaq Asia Industrials JPY TR Index,NQASIA50JPYT,NQASIA2000JPYT
Nasdaq Asia Industrials Large Mid Cap AUD Index,NQASIA50LMAUD,NQASIA2000LMAUD
Nasdaq Asia Industrials Large Mid Cap AUD NTR Index,NQASIA50LMAUDN,NQASIA2000LMAUDN
Nasdaq Asia Industrials Large Mid Cap AUD TR Index,NQASIA50LMAUDT,NQASIA2000LMAUDT
Nasdaq Asia Industrials Large Mid Cap CAD Index,NQASIA50LMCAD,NQASIA2000LMCAD
Nasdaq Asia Industrials Large Mid Cap CAD NTR Index,NQASIA50LMCADN,NQASIA2000LMCADN
Nasdaq Asia Industrials Large Mid Cap CAD TR Index,NQASIA50LMCADT,NQASIA2000LMCADT
Nasdaq Asia Industrials Large Mid Cap EUR Index,NQASIA50LMEUR,NQASIA2000LMEUR
Nasdaq Asia Industrials Large Mid Cap EUR NTR Index,NQASIA50LMEURN,NQASIA2000LMEURN
Nasdaq Asia Industrials Large Mid Cap EUR TR Index,NQASIA50LMEURT,NQASIA2000LMEURT
Nasdaq Asia Industrials Large Mid Cap GBP Index,NQASIA50LMGBP,NQASIA2000LMGBP
Nasdaq Asia Industrials Large Mid Cap GBP NTR Index,NQASIA50LMGBPN,NQASIA2000LMGBPN
Nasdaq Asia Industrials Large Mid Cap GBP TR Index,NQASIA50LMGBPT,NQASIA2000LMGBPT
Nasdaq Asia Industrials Large Mid Cap Index,NQASIA50LM,NQASIA2000LM
Nasdaq Asia Industrials Large Mid Cap JPY Index,NQASIA50LMJPY,NQASIA2000LMJPY
