Date,DATABASE_CODE,DATASET_CODE,Index Value,Total Market Value,Dividend Market Value
12/15/2020,NASDAQOMX,NQCA55LMCADT,1144.57,249000000000.0,0
12/16/2020,NASDAQOMX,NQCA55LMCADT,1158.73,252000000000.0,0
12/17/2020,NASDAQOMX,NQCA55LMCADT,1184.38,257000000000.0,0
12/18/2020,NASDAQOMX,NQCA55LMCADT,1166.56,253000000000.0,0
12/21/2020,NASDAQOMX,NQCA55LMCADT,1171.58,255000000000.0,0
12/22/2020,NASDAQOMX,NQCA55LMCADT,1148.53,249000000000.0,0
12/23/2020,NASDAQOMX,NQCA55LMCADT,1164.92,253000000000.0,0
12/24/2020,NASDAQOMX,NQCA55LMCADT,1164.65,253000000000.0,0
12/25/2020,NASDAQOMX,NQCA55LMCADT,1164.65,253000000000.0,0
12/28/2020,NASDAQOMX,NQCA55LMCADT,1164.65,253000000000.0,0
12/29/2020,NASDAQOMX,NQCA55LMCADT,1154.49,251000000000.0,0
12/30/2020,NASDAQOMX,NQCA55LMCADT,1176.13,255000000000.0,425862049
12/31/2020,NASDAQOMX,NQCA55LMCADT,1156.29,251000000000.0,0
9/22/2020,NASDAQOMX,NQCA40CADT,1000.16,140000000000.0,0
9/23/2020,NASDAQOMX,NQCA40CADT,1004.05,140000000000.0,0
9/24/2020,NASDAQOMX,NQCA40CADT,1011.47,142000000000.0,4899993
9/25/2020,NASDAQOMX,NQCA40CADT,1016.87,142000000000.0,0
9/28/2020,NASDAQOMX,NQCA40CADT,1029.0,144000000000.0,0
9/29/2020,NASDAQOMX,NQCA40CADT,1025.53,143000000000.0,33141006
9/30/2020,NASDAQOMX,NQCA40CADT,1022.18,144000000000.0,0
10/1/2020,NASDAQOMX,NQCA40CADT,1031.6,145000000000.0,0
10/2/2020,NASDAQOMX,NQCA40CADT,1029.9,145000000000.0,0
10/5/2020,NASDAQOMX,NQCA40CADT,1041.06,147000000000.0,0
10/6/2020,NASDAQOMX,NQCA40CADT,1031.89,145000000000.0,0
10/7/2020,NASDAQOMX,NQCA40CADT,1052.87,148000000000.0,0
10/8/2020,NASDAQOMX,NQCA40CADT,1062.05,150000000000.0,12868140
10/9/2020,NASDAQOMX,NQCA40CADT,1057.47,149000000000.0,0
10/12/2020,NASDAQOMX,NQCA40CADT,1057.56,149000000000.0,0
10/13/2020,NASDAQOMX,NQCA40CADT,1050.3,148000000000.0,0
